stat_id,player_id
"1188206_Total",1188206
"1258577_Total",1258577
"717223_Total",717223
"902813_Total",902813
"1269733_Total",1269733
"951671_Total",951671
"691877_Total",691877
"841118_Total",841118
"841736_Total",841736
"1203849_Total",1203849
"1459207_Total",1459207
"536879_Total",536879
"519245_Total",519245
"897139_Total",897139
"885446_Total",885446
"1338344_Total",1338344
"1338402_Total",1338402
"1338340_Total",1338340
"1297881_Total",1297881
"1203683_Total",1203683
"1338336_Total",1338336
"244921_Total",244921
"1338946_Total",1338946
"1260898_Total",1260898
"799020_Total",799020
"1133029_Total",1133029
"1338337_Total",1338337
"1203885_Total",1203885
"1293625_Total",1293625
"1256586_Total",1256586
"1338434_Total",1338434
"903847_Total",903847
"902853_Total",902853
"502657_Total",502657
"234897_Total",234897
"375626_Total",375626
"625170_Total",625170
"1260850_Total",1260850
"1338341_Total",1338341
"499513_Total",499513
"736943_Total",736943
"375629_Total",375629
"262895_Total",262895
"1268379_Total",1268379
"1338250_Total",1338250
"902800_Total",902800
"1338253_Total",1338253
"1338805_Total",1338805
"1211423_Total",1211423
"1207194_Total",1207194
"689433_Total",689433
"949538_Total",949538
"925830_Total",925830
"1207223_Total",1207223
"1211503_Total",1211503
"1338256_Total",1338256
"1261669_Total",1261669
"1229756_Total",1229756
"902833_Total",902833
"1211424_Total",1211424
"1274437_Total",1274437
"902816_Total",902816
"1274414_Total",1274414
"238120_Total",238120
"1203860_Total",1203860
"733894_Total",733894
"211632_Total",211632
"859897_Total",859897
"996378_Total",996378
"1338252_Total",1338252
"1173700_Total",1173700
"1261753_Total",1261753
"1261675_Total",1261675
"1172369_Total",1172369
"857712_Total",857712
"902848_Total",902848
"1338251_Total",1338251
