player_id,stat_id
926806,926806_Total
352125,352125_Total
1322435,1322435_Total
789533,789533_Total
353473,353473_Total
709481,709481_Total
908118,908118_Total
1036559,1036559_Total
918020,918020_Total
292309,292309_Total
1110587,1110587_Total
1174677,1174677_Total
642295,642295_Total
1184401,1184401_Total
467571,467571_Total
1327935,1327935_Total
1337458,1337458_Total
920577,920577_Total
1194144,1194144_Total
1153106,1153106_Total
1233132,1233132_Total
1270327,1270327_Total
1338486,1338486_Total
182912,182912_Total
975918,975918_Total
491280,491280_Total
1134278,1134278_Total
593395,593395_Total
1263250,1263250_Total
823069,823069_Total
1258563,1258563_Total
518828,518828_Total
1258564,1258564_Total
1065548,1065548_Total
244941,244941_Total
1097559,1097559_Total
846437,846437_Total
858910,858910_Total
908108,908108_Total
1235904,1235904_Total
312825,312825_Total
1233335,1233335_Total
836467,836467_Total
712125,712125_Total
203755,203755_Total
182885,182885_Total
364239,364239_Total
1235902,1235902_Total
848420,848420_Total
681726,681726_Total
902847,902847_Total
860299,860299_Total
929321,929321_Total
1256643,1256643_Total
650001,650001_Total
842528,842528_Total
484572,484572_Total
234836,234836_Total
239127,239127_Total
1340455,1340455_Total
1340454,1340454_Total
864078,864078_Total
868656,868656_Total
857713,857713_Total
933020,933020_Total
1309589,1309589_Total
1123784,1123784_Total
805351,805351_Total
1102874,1102874_Total
1105269,1105269_Total
440323,440323_Total
1125067,1125067_Total
1263910,1263910_Total
518849,518849_Total
703639,703639_Total
375635,375635_Total
1092073,1092073_Total
643992,643992_Total
536874,536874_Total
850874,850874_Total
520441,520441_Total
712124,712124_Total
238963,238963_Total
1097549,1097549_Total
366783,366783_Total
556868,556868_Total
617083,617083_Total
855878,855878_Total
926537,926537_Total
790406,790406_Total
1406018,1406018_Total
1263222,1263222_Total
837173,837173_Total
234900,234900_Total
822539,822539_Total
731876,731876_Total
1264456,1264456_Total
365362,365362_Total
1210076,1210076_Total
1076082,1076082_Total
558706,558706_Total
1274616,1274616_Total
858917,858917_Total
800365,800365_Total
897600,897600_Total
1033958,1033958_Total
549322,549322_Total
1203684,1203684_Total
499511,499511_Total
800592,800592_Total
1060545,1060545_Total
727252,727252_Total
1309132,1309132_Total
1262530,1262530_Total
665743,665743_Total
667972,667972_Total
727075,727075_Total
738953,738953_Total
1203850,1203850_Total
820480,820480_Total
1210182,1210182_Total
235116,235116_Total
1422476,1422476_Total
1087382,1087382_Total
366775,366775_Total
738071,738071_Total
176573,176573_Total
717216,717216_Total
617595,617595_Total
1336614,1336614_Total
1210187,1210187_Total
275262,275262_Total
1178984,1178984_Total
863506,863506_Total
891953,891953_Total
1172375,1172375_Total
1307857,1307857_Total
1273576,1273576_Total
1076078,1076078_Total
1302320,1302320_Total
902827,902827_Total
840930,840930_Total
882909,882909_Total
1002677,1002677_Total
1004272,1004272_Total
1307908,1307908_Total
321629,321629_Total
539612,539612_Total
496570,496570_Total
1191484,1191484_Total
683336,683336_Total
717214,717214_Total
240721,240721_Total
245202,245202_Total
836632,836632_Total
859901,859901_Total
203378,203378_Total
507358,507358_Total
1333330,1333330_Total
1303960,1303960_Total
846673,846673_Total
660039,660039_Total
1064714,1064714_Total
1204741,1204741_Total
77385,77385_Total
1183709,1183709_Total
240714,240714_Total
461581,461581_Total
701611,701611_Total
823072,823072_Total
972603,972603_Total
1307015,1307015_Total
1416877,1416877_Total
1033957,1033957_Total
1370977,1370977_Total
1133028,1133028_Total
902834,902834_Total
1262531,1262531_Total
1204104,1204104_Total
1267056,1267056_Total
530999,530999_Total
231941,231941_Total
1230677,1230677_Total
867271,867271_Total
840926,840926_Total
1043567,1043567_Total
588635,588635_Total
720443,720443_Total
1440454,1440454_Total
841119,841119_Total
990144,990144_Total
1188206,1188206_Total
1258577,1258577_Total
717223,717223_Total
902813,902813_Total
1269733,1269733_Total
951671,951671_Total
691877,691877_Total
841118,841118_Total
841736,841736_Total
1203849,1203849_Total
1459207,1459207_Total
536879,536879_Total
519245,519245_Total
897139,897139_Total
885446,885446_Total
1338344,1338344_Total
1338402,1338402_Total
1338340,1338340_Total
1297881,1297881_Total
1203683,1203683_Total
1338336,1338336_Total
244921,244921_Total
1338946,1338946_Total
1260898,1260898_Total
799020,799020_Total
1133029,1133029_Total
1338337,1338337_Total
1203885,1203885_Total
1293625,1293625_Total
1256586,1256586_Total
1338434,1338434_Total
903847,903847_Total
902853,902853_Total
502657,502657_Total
234897,234897_Total
375626,375626_Total
625170,625170_Total
1260850,1260850_Total
1338341,1338341_Total
499513,499513_Total
736943,736943_Total
375629,375629_Total
262895,262895_Total
1268379,1268379_Total
1338250,1338250_Total
902800,902800_Total
1338253,1338253_Total
1338805,1338805_Total
1211423,1211423_Total
1207194,1207194_Total
689433,689433_Total
949538,949538_Total
925830,925830_Total
1207223,1207223_Total
1211503,1211503_Total
1338256,1338256_Total
1261669,1261669_Total
1229756,1229756_Total
902833,902833_Total
1211424,1211424_Total
1274437,1274437_Total
902816,902816_Total
1274414,1274414_Total
238120,238120_Total
1203860,1203860_Total
733894,733894_Total
211632,211632_Total
859897,859897_Total
996378,996378_Total
1338252,1338252_Total
1173700,1173700_Total
1261753,1261753_Total
1261675,1261675_Total
1172369,1172369_Total
857712,857712_Total
902848,902848_Total
1338251,1338251_Total
