player_id,inj_id
55619,"55619_28/09/2015"
55619,"55619_17/09/2015"
55619,"55619_13/11/2014"
55619,"55619_28/11/2011"
55619,"55619_16/05/2011"
274235,"274235_01/03/2023"
274235,"274235_22/10/2020"
274235,"274235_07/02/2020"
241324,"241324_27/01/2025"
241324,"241324_27/03/2024"
241324,"241324_01/08/2022"
241324,"241324_08/01/2022"
241324,"241324_21/11/2017"
1274436,"1274436_14/04/2025"
518804,"518804_31/10/2024"
969934,"969934_23/12/2023"
969934,"969934_07/11/2023"
238634,"238634_01/02/2021"
371606,"371606_01/12/2022"
371606,"371606_11/04/2021"
245193,"245193_23/01/2025"
245193,"245193_11/01/2022"
245193,"245193_05/08/2021"
245193,"245193_01/12/2019"
707310,"707310_08/07/2022"
318904,"318904_10/01/2017"
318904,"318904_28/09/2016"
199704,"199704_10/02/2021"
199704,"199704_09/09/2020"
507374,"507374_22/04/2024"
507374,"507374_26/05/2022"
371211,"371211_08/07/2021"
553100,"553100_19/10/2024"
238997,"238997_23/03/2023"
238997,"238997_23/04/2021"
711281,"711281_14/09/2025"
518802,"518802_02/04/2021"
689431,"689431_25/12/2024"
689431,"689431_01/11/2023"
689431,"689431_19/09/2021"
689431,"689431_09/07/2021"
689431,"689431_19/11/2019"
631508,"631508_26/02/2024"
734155,"734155_16/10/2020"
799742,"799742_05/10/2021"
556272,"556272_15/05/2022"
556272,"556272_15/02/2022"
737182,"737182_28/12/2021"
834876,"834876_15/11/2021"
508643,"508643_10/12/2023"
508643,"508643_07/03/2021"
290768,"290768_16/01/2024"
290768,"290768_23/04/2023"
712126,"712126_16/03/2021"
689435,"689435_12/03/2022"
689435,"689435_21/02/2022"
689435,"689435_13/02/2022"
689435,"689435_26/12/2021"
255642,"255642_17/06/2021"
692591,"692591_06/01/2022"
306668,"306668_25/02/2025"
306668,"306668_01/04/2024"
343949,"343949_14/03/2025"
343949,"343949_18/11/2024"
343949,"343949_26/09/2022"
343949,"343949_08/05/2018"
276255,"276255_01/09/2023"
276255,"276255_28/08/2021"
276255,"276255_13/12/2019"
276255,"276255_13/08/2017"
537209,"537209_20/12/2024"
537209,"537209_15/11/2022"
537209,"537209_15/04/2021"
64490,"64490_16/12/2021"
64490,"64490_18/07/2021"
64490,"64490_19/10/2020"
64490,"64490_19/09/2014"
1134252,"1134252_06/08/2025"
352125,"352125_21/03/2025"
292309,"292309_24/05/2021"
292309,"292309_04/08/2020"
182912,"182912_05/08/2024"
182912,"182912_13/10/2020"
491280,"491280_02/10/2024"
491280,"491280_19/05/2021"
491280,"491280_30/05/2020"
712125,"712125_08/07/2022"
203755,"203755_29/11/2020"
203755,"203755_04/08/2020"
364239,"364239_06/08/2023"
364239,"364239_19/03/2023"
364239,"364239_16/12/2019"
364239,"364239_16/07/2019"
364239,"364239_20/02/2019"
364239,"364239_12/02/2019"
364239,"364239_23/09/2017"
364239,"364239_23/07/2017"
234836,"234836_04/08/2020"
234836,"234836_14/05/2014"
234836,"234836_07/04/2014"
234836,"234836_23/02/2014"
234836,"234836_23/11/2013"
1309589,"1309589_30/09/2024"
518849,"518849_13/06/2023"
518849,"518849_21/09/2021"
375635,"375635_10/04/2021"
556868,"556868_07/09/2021"
556868,"556868_03/05/2021"
790406,"790406_19/12/2021"
837173,"837173_08/12/2021"
731876,"731876_25/12/2022"
731876,"731876_18/10/2021"
731876,"731876_17/06/2021"
858917,"858917_22/01/2023"
858917,"858917_27/04/2022"
897600,"897600_13/12/2024"
235116,"235116_04/01/2023"
235116,"235116_27/04/2022"
176573,"176573_26/11/2021"
176573,"176573_19/11/2020"
617595,"617595_18/12/2020"
321629,"321629_03/06/2021"
496570,"496570_14/08/2020"
683336,"683336_08/04/2021"
683336,"683336_01/08/2019"
240721,"240721_18/01/2023"
203378,"203378_01/08/2022"
203378,"203378_18/10/2020"
203378,"203378_25/02/2020"
203378,"203378_11/12/2019"
203378,"203378_19/07/2019"
203378,"203378_08/03/2019"
203378,"203378_19/04/2018"
203378,"203378_20/11/2017"
203378,"203378_17/09/2017"
203378,"203378_13/02/2016"
203378,"203378_05/12/2015"
203378,"203378_01/09/2014"
203378,"203378_04/11/2013"
203378,"203378_21/10/2013"
203378,"203378_12/08/2013"
77385,"77385_24/12/2021"
77385,"77385_24/02/2021"
77385,"77385_12/02/2021"
77385,"77385_22/10/2020"
77385,"77385_10/02/2020"
240714,"240714_18/09/2025"
240714,"240714_04/08/2020"
240714,"240714_23/12/2019"
701611,"701611_24/08/2022"
972603,"972603_16/09/2025"
231941,"231941_28/04/2024"
231941,"231941_15/05/2022"
231941,"231941_18/06/2018"
231941,"231941_05/02/2018"
231941,"231941_01/02/2016"
231941,"231941_19/10/2015"
867271,"867271_25/10/2025"
588635,"588635_01/12/2023"
1048594,"1048594_22/08/2022"
1048594,"1048594_22/08/2022"
502657,"502657_20/10/2020"
502657,"502657_13/02/2020"
502657,"502657_02/07/2019"
262895,"262895_18/08/2021"
262895,"262895_11/05/2021"
262895,"262895_15/02/2021"
262895,"262895_18/04/2018"
