player_id,cont_id
1401592,"1401592_None"
1401592,"1401592_None"
1401592,"1401592_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1500985,"1500985_None"
1500985,"1500985_None"
961690,"961690_None"
961690,"961690_None"
961690,"961690_None"
961690,"961690_None"
961690,"961690_None"
961690,"961690_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
1545316,"1545316_None"
1545316,"1545316_None"
1528418,"1528418_None"
1528418,"1528418_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
1140935,"1140935_None"
1140935,"1140935_None"
1140855,"1140855_None"
1140855,"1140855_None"
1461681,"1461681_None"
1461681,"1461681_None"
1461320,"1461320_None"
1613042,"1613042_None"
1482836,"1482836_None"
1482836,"1482836_None"
1482836,"1482836_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
1008599,"1008599_None"
1008599,"1008599_None"
1008599,"1008599_None"
1008599,"1008599_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
1004523,"1004523_None"
1004523,"1004523_None"
1004523,"1004523_None"
1004523,"1004523_None"
1004523,"1004523_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
316583,"316583_None"
1619134,"1619134_None"
1103558,"1103558_None"
1103558,"1103558_None"
1103558,"1103558_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1168800,"1168800_None"
1500985,"1500985_None"
1500985,"1500985_None"
961690,"961690_None"
961690,"961690_None"
961690,"961690_None"
961690,"961690_None"
961690,"961690_None"
961690,"961690_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
544156,"544156_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
944009,"944009_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
374560,"374560_None"
1545316,"1545316_None"
1545316,"1545316_None"
1528418,"1528418_None"
1528418,"1528418_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
919329,"919329_None"
1140935,"1140935_None"
1140935,"1140935_None"
1140855,"1140855_None"
1140855,"1140855_None"
1461681,"1461681_None"
1461681,"1461681_None"
1461320,"1461320_None"
1613042,"1613042_None"
1482836,"1482836_None"
1482836,"1482836_None"
1482836,"1482836_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
812947,"812947_None"
1008599,"1008599_None"
1008599,"1008599_None"
1008599,"1008599_None"
1008599,"1008599_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
826571,"826571_None"
