stat_id,player_id
"1008872_1054_64021",1008872
"1008872_937_78750",1008872
"1416474_937_65433",1416474
"1008631_1054_80447",1008631
"1008631_1054_64021",1008631
"1008631_937_78750",1008631
"1402635_1054_80447",1402635
"1402635_937_78750",1402635
"1402635_937_65433",1402635
"1894253_937_78750",1894253
"1894253_937_65433",1894253
"1894253_1054_64021",1894253
"178721_1054_80447",178721
"178721_937_78750",178721
"178721_34_61736",178721
"1518450_1054_80447",1518450
"1518450_937_78750",1518450
"1518450_637_77585",1518450
"919477_1054_80447",919477
"919477_1054_64021",919477
"919477_937_78750",919477
"923882_1054_80447",923882
"923882_1054_64021",923882
"923882_1054_53661",923882
"1444497_937_78750",1444497
"1444497_637_77585",1444497
"1444497_637_47731",1444497
"1008347_1054_80447",1008347
"1008347_937_78750",1008347
"1008347_937_65433",1008347
"2046059_1054_80447",2046059
"2046059_1054_64021",2046059
"2046059_937_78750",2046059
"2127597_937_78750",2127597
"2127597_937_65433",2127597
"359280_1054_80447",359280
"359280_1054_44968",359280
"359280_1054_38336",359280
"1401592_937_65433",1401592
"1401592_937_54108",1401592
"1401592_1054_64021",1401592
"1168800_937_78750",1168800
"1168800_9_61412",1168800
"1168800_9_52384",1168800
"1500985_937_65433",1500985
"1500985_937_54108",1500985
"2121452_937_65433",2121452
"961690_937_78750",961690
"961690_709_64075",961690
"961690_709_53263",961690
"544156_937_78750",544156
"544156_37_61666",544156
"544156_37_52554",544156
"944009_937_78750",944009
"944009_937_65433",944009
"944009_13_56249",944009
"374560_937_78750",374560
"374560_238_63670",374560
"374560_238_52769",374560
"1545316_937_78750",1545316
"1545316_937_54108",1545316
"1545316_971_64629",1545316
"1528418_937_78750",1528418
"1528418_937_65433",1528418
"1528418_937_54108",1528418
"919329_937_78750",919329
"919329_937_65433",919329
"919329_937_54108",919329
"1140935_937_78750",1140935
"1140935_937_65433",1140935
"1140935_937_54108",1140935
"1140855_937_78750",1140855
"1140855_937_65433",1140855
"1140855_937_54108",1140855
"1461681_937_65433",1461681
"1461320_937_65433",1461320
"1613042_1054_53661",1613042
"1482836_937_78750",1482836
"1482836_13_56249",1482836
"1482836_334_63542",1482836
"812947_937_78750",812947
"812947_915_65237",812947
"812947_915_52957",812947
"1008599_937_78750",1008599
"1008599_937_65433",1008599
"1008599_937_54108",1008599
"826571_937_78750",826571
"826571_937_65433",826571
"826571_937_54108",826571
"1004523_937_78750",1004523
"1004523_937_54108",1004523
"1004523_247_61477",1004523
"316583_937_78750",316583
"316583_825_63717",316583
"316583_1518_65965",316583
"1619134_937_78750",1619134
"1619134_937_65433",1619134
"1619134_937_54108",1619134
"1103558_937_78750",1103558
"1103558_937_65433",1103558
"919474_937_78750",919474
"919474_937_65433",919474
"1168800_937_78750",1168800
"1168800_9_61412",1168800
"1168800_9_52384",1168800
"1500985_937_65433",1500985
"1500985_937_54108",1500985
"2121452_937_65433",2121452
"961690_937_78750",961690
"961690_709_64075",961690
"961690_709_53263",961690
"544156_937_78750",544156
"544156_37_61666",544156
"544156_37_52554",544156
"944009_937_78750",944009
"944009_937_65433",944009
"944009_13_56249",944009
"374560_937_78750",374560
"374560_238_63670",374560
"374560_238_52769",374560
"1545316_937_78750",1545316
"1545316_937_54108",1545316
"1545316_971_64629",1545316
"1528418_937_78750",1528418
"1528418_937_65433",1528418
"1528418_937_54108",1528418
"919329_937_78750",919329
"919329_937_65433",919329
"919329_937_54108",919329
"1140935_937_78750",1140935
"1140935_937_65433",1140935
"1140935_937_54108",1140935
"1140855_937_78750",1140855
"1140855_937_65433",1140855
"1140855_937_54108",1140855
"1461681_937_65433",1461681
"1461320_937_65433",1461320
"1613042_1054_53661",1613042
"1482836_937_78750",1482836
"1482836_13_56249",1482836
"1482836_334_63542",1482836
"812947_937_78750",812947
"812947_915_65237",812947
"812947_915_52957",812947
"1008599_937_78750",1008599
"1008599_937_65433",1008599
"1008599_937_54108",1008599
"826571_937_78750",826571
"826571_937_65433",826571
"826571_937_54108",826571
"1004523_937_78750",1004523
"1004523_937_54108",1004523
"1004523_247_61477",1004523
"316583_937_78750",316583
"316583_825_63717",316583
"316583_1518_65965",316583
"1619134_937_78750",1619134
"1619134_937_65433",1619134
"1619134_937_54108",1619134
"1103558_937_78750",1103558
"1103558_937_65433",1103558
"919474_937_78750",919474
"919474_937_65433",919474
"919474_937_54108",919474
"1004426_937_78750",1004426
"1004426_937_65433",1004426
"1011278_937_65433",1011278
"1140820_937_78750",1140820
"1140820_937_65433",1140820
"1140820_937_54108",1140820
"1845576_937_65433",1845576
"2150417_937_78750",2150417
"2150417_937_65433",2150417
"1936634_937_65433",1936634
"1008621_937_78750",1008621
"1008621_937_54108",1008621
"1008621_23987_68177",1008621
"1016143_937_78750",1016143
"1016143_937_54108",1016143
"1016143_295_53820",1016143
"1186787_937_78750",1186787
"1186787_937_65433",1186787
"1186787_937_54108",1186787
"796155_937_78750",796155
"796155_937_65433",796155
"796155_937_54108",796155
"1102955_937_78750",1102955
"1102955_937_65433",1102955
"1102955_1054_64021",1102955
"544532_937_78750",544532
"544532_131_61667",544532
"544532_131_36893",544532
"1605928_937_78750",1605928
"1605928_937_65433",1605928
"1605928_937_54108",1605928
