cont_id,associated_id,type
"1008599_None",1008599,Player
"1008599_None",1008599,Player
"1008599_None",1008599,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"1004523_None",1004523,Player
"1004523_None",1004523,Player
"1004523_None",1004523,Player
"1004523_None",1004523,Player
"1004523_None",1004523,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"1619134_None",1619134,Player
"1103558_None",1103558,Player
"1103558_None",1103558,Player
"1103558_None",1103558,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1500985_None",1500985,Player
"1500985_None",1500985,Player
"961690_None",961690,Player
"961690_None",961690,Player
"961690_None",961690,Player
"961690_None",961690,Player
"961690_None",961690,Player
"961690_None",961690,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"1545316_None",1545316,Player
"1545316_None",1545316,Player
"1528418_None",1528418,Player
"1528418_None",1528418,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"1140935_None",1140935,Player
"1140935_None",1140935,Player
"1140855_None",1140855,Player
"1140855_None",1140855,Player
"1461681_None",1461681,Player
"1461681_None",1461681,Player
"1461320_None",1461320,Player
"1613042_None",1613042,Player
"1482836_None",1482836,Player
"1482836_None",1482836,Player
"1482836_None",1482836,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"1008599_None",1008599,Player
"1008599_None",1008599,Player
"1008599_None",1008599,Player
"1008599_None",1008599,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"826571_None",826571,Player
"1004523_None",1004523,Player
"1004523_None",1004523,Player
"1004523_None",1004523,Player
"1004523_None",1004523,Player
"1004523_None",1004523,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"316583_None",316583,Player
"1619134_None",1619134,Player
"1103558_None",1103558,Player
"1103558_None",1103558,Player
"1103558_None",1103558,Player
"919474_None",919474,Player
"919474_None",919474,Player
"1004426_None",1004426,Player
"1004426_None",1004426,Player
"1004426_None",1004426,Player
"1004426_None",1004426,Player
"1004426_None",1004426,Player
"1004426_None",1004426,Player
"1011278_None",1011278,Player
"1011278_None",1011278,Player
"1011278_None",1011278,Player
"1011278_None",1011278,Player
"1140820_None",1140820,Player
"1140820_None",1140820,Player
"1140820_None",1140820,Player
"1140820_None",1140820,Player
"1140820_None",1140820,Player
"1140820_None",1140820,Player
"1140820_None",1140820,Player
"1997651_None",1997651,Player
"1845576_None",1845576,Player
