id,season,matches_played,goals,assists,yellow_cards,red_cards,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"1416474_937_65433","Botola Pro 24/25",,3,2,3,1,,,,81.28,,6.8592592592593
"1008631_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,1,80,,6.35
"1008631_1054_64021","CAF Champions League 24/25",,0,0,0,0,,,3,81.889763779528,,6.6666666666667
"1008631_937_78750","Botola Pro 25/26",,0,0,2,0,,,,88.53,,7.075
"1402635_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,0,75,,6.5
"1402635_937_78750","Botola Pro 25/26",,0,1,0,0,,,,80,,6.6
"1402635_937_65433","Botola Pro 24/25",,3,0,4,0,,,,81.82,,6.8592592592593
"1894253_937_78750","Botola Pro 25/26",,1,0,1,0,,,,0,,7.4
"1894253_937_65433","Botola Pro 24/25",,2,1,3,1,,,,74.52,,6.7217391304348
"1894253_1054_64021","CAF Champions League 24/25",,0,1,0,0,,,0,80,,6.5333333333333
"178721_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,0,86.666666666667,,6.7
"178721_937_78750","Botola Pro 25/26",,0,0,0,0,,,,88.24,,6.82
"178721_34_61736","Ligue 1 24/25",,0,0,2,0,,,0,86.826347305389,,6.6066666666667
"1518450_1054_80447","CAF Champions League 25/26",,0,0,1,0,,,0,81.818181818182,,6.9
"1518450_937_78750","Botola Pro 25/26",,0,0,4,0,,,,87.09,,7.3571428571429
"1518450_637_77585","African Nations Championship 2025",,0,0,3,0,,,0,86.885245901639,,7
"919477_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,0,77.777777777778,,7
"919477_1054_64021","CAF Champions League 24/25",,0,0,0,0,,,0,76.639344262295,,6.7375
"919477_937_78750","Botola Pro 25/26",,1,1,1,0,,,,80.35,,7.2625
"923882_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,0,81.159420289855,,6.65
"923882_1054_64021","CAF Champions League 24/25",,1,0,1,0,,,0,83.333333333333,,6.7
"923882_1054_53661","CAF Champions League 23/24",,0,0,0,0,,,0,80.645161290323,,6.7
"1444497_937_78750","Botola Pro 25/26",,0,0,0,0,,,,88.89,,6.9
"1444497_637_77585","African Nations Championship 2025",,0,0,1,0,,,0,78.77358490566,,7.1
"1444497_637_47731","African Nations Championship 2023",,0,0,0,0,,,0,63.392857142857,,6.9666666666667
"1008347_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,0,66.666666666667,,6.8
"1008347_937_78750","Botola Pro 25/26",,0,1,1,0,,,,75.29,,6.94
"1008347_937_65433","Botola Pro 24/25",,4,2,6,1,,,,68.68,,7.1208333333333
"2046059_1054_80447","CAF Champions League 25/26",,0,0,1,0,,,0,84.210526315789,,6.6
