id,name,age,nationality,jerseyNumber,height,weight,preferred_foot,preferred_positions,market_value,overall_rating,minutes_played
1103558,"Marouane Ouhrou",23,"Morocco",21,178,None,"Left","D",335000,None,None
919474,"Saad Ait Khorsa",31,"Morocco",4,186,None,"Left","D",365000,None,None
1004426,"Ayman Chabani",27,"Morocco",5,189,None,"Right","D",180000,None,None
1011278,"Reda Mhannaoui",26,"Morocco",15,171,None,"Right","D",220000,None,None
1140820,"Salaheddine Chihab",32,"Morocco",99,198,None,"Right","G",970000,None,None
1997651,"Walid Lghrissi",17,"Morocco",,,None,,"G",,None,None
1845576,"Oussama Errahmany",22,"Morocco",12,195,None,"Both","G",160000,None,None
2150417,"Adam   Brika",,,26,,None,,"",,None,None
1936634,"Akram Khalifi",,,36,,None,,"",,None,None
2119654,"Mohamed Amine Ouakef",,,31,,None,,"",,None,None
2268623,"Bi Djessan",22,"Côte d'Ivoire",90,,None,,"",,None,None
1008621,"Ismail Khafi",30,"Morocco",9,183,None,"Both","F",410000,None,None
1016143,"Victor Ábrego",28,"Bolivia",20,177,None,"Right","F",320000,None,None
1186787,"Youness Najari",29,"Morocco",14,186,None,"Left","F",410000,None,None
2146456,"Ilyass Faiz",18,"Morocco",25,176,None,"Right","F",,None,None
796155,"Sabir Bougrine",29,"Morocco",34,173,None,"Right","M",640000,None,None
1102955,"Pape Ousmane Sakho",28,"Senegal",79,173,None,"Right","M",68000,None,None
544532,"Bilal Ould-Chikh",28,"Morocco",10,170,None,"Left","M",825000,None,None
1605928,"Mouad Dahak",20,"Morocco",21,165,None,"Right","M",930000,None,None
797021,"Adam Ennafati",31,"Morocco",77,180,None,"Right","M",980000,None,None
1213240,"Othmane Chraibi",22,"Morocco",19,175,None,"Right","M",260000,None,None
970835,"Mohamed Al Makahasi",30,"Morocco",23,177,None,"Right","M",760000,None,None
330025,"Moses Orkuma",31,"Nigeria",16,171,None,"Left","M",680000,None,None
1952096,"Ayoub Maamouri",25,"Morocco",11,170,None,"Right","M",370000,None,None
1008280,"Hilal Ferdaoussi",26,"Morocco",8,177,None,"Right","M",440000,None,None
919484,"Youssef Belammari",27,"Morocco",17,183,None,"Left","D",1500000,None,None
906597,"Badr Benoun",32,"Morocco",13,193,None,"Right","D",875000,None,None
970819,"Mohamed Boulacsout",27,"Morocco",7,179,None,"Both","D",845000,None,None
1502265,"Mehdi Mchakh'chekh",21,"Morocco",33,183,None,"Right","D",410000,None,None
1168799,"Bouchaib Arrassi",25,"Morocco",6,190,None,"Right","D",300000,None,None
971021,"Ismail Mokadem",30,"Morocco",4,176,None,"Right","D",480000,None,None
970766,"Abdellah Khafifi",32,"Morocco",5,183,None,"Right","D",570000,None,None
919701,"Abdelkarim Baadi",29,"Morocco",2,173,None,"Left","D",310000,None,None
2022156,"Saad Farid",20,"Morocco",38,175,None,"Right","D",,None,None
1140885,"Mehdi Al Harrar",25,"Morocco",1,192,None,"Right","G",720000,None,None
1009912,"Khalid Kbiri Alaoui",29,"Morocco",12,192,None,,"G",570000,None,None
1168539,"Zoubir Yassine",23,"Morocco",32,192,None,"Right","G",,None,None
2143826,"Abderrazak El Wadi",,"Morocco",50,,None,,"G",,None,None
1919278,"Zouhir Eddib",23,"Morocco",99,183,None,"Right","F",250000,None,None
1404064,"Imad Khannouss",32,"Morocco",59,179,None,"Both","F",130000,None,None
2033440,"Yassine Senhaji",19,"Morocco",77,181,None,"Right","F",24000,None,None
1525540,"Abdellatif Benkassou",22,"Morocco",21,,None,"Right","F",260000,None,None
1140850,"Mustapha Sahd",32,"Morocco",20,183,None,"Right","F",340000,None,None
2033781,"Cruz Ndong Biteghe",24,"Gabon",12,,None,,"F",,None,None
2313076,"Bouabid Bouden",43,"Morocco",,177,None,"Right","F",,None,None
939864,"Ismael Benktib",27,"Morocco",27,180,None,"Right","M",490000,None,None
919761,"Larbi Naji",34,"Morocco",29,183,None,"Right","M",440000,None,None
1461306,"Mouad Goulouss",32,"Morocco",10,171,None,"Right","M",250000,None,None
884821,"Youssef Anouar",35,"Morocco",7,165,None,"Right","M",320000,None,None
1919308,"Mohamed Gharmal ",37,"Morocco",25,177,None,,"M",,None,None
1919284,"Adnane Berdad",32,"Morocco",6,,None,"Right","M",255000,None,None
1632047,"Younes Sakhi",25,"Morocco",17,187,None,"Both","M",160000,None,None
919951,"Amine Dghoughi",33,"Morocco",8,174,None,"Right","M",170000,None,None
1020148,"Achraf Hmaidou",25,"Morocco",14,176,None,"Right","M",350000,None,None
1919295,"Mohamed Zinaf",22,"Morocco",11,,None,,"M",52000,None,None
1103646,"Yacoub El Id",24,"Mauritania",15,181,None,,"M",,None,None
919690,"Zakaria Nassik",28,"Morocco",3,177,None,"Left","D",260000,None,None
359282,"Yassine Jbira",29,"Morocco",13,172,None,"Left","D",285000,None,None
1009758,"Youssef Limouri",26,"Morocco",5,,None,,"D",580000,None,None
1433799,"Chams Eddine Knaidil",22,"Morocco",3,,None,"Left","D",310000,None,None
1016040,"Driss El Abdi",32,"Morocco",31,,None,"Left","D",52000,None,None
1525316,"Oussama Daoui",,"Morocco",,,None,"Right","",310000,None,None
977069,"Imran Fiddi",,"Morocco",,173,None,"Right","",140000,None,None
1140959,"Karim El Bounagate",,"Morocco",,185,None,"Left","",185000,None,None
1401580,"Anass Nouader",,"Morocco",,182,None,,"",255000,None,None
1545318,"Hamza Malki",,"Morocco",,,None,,"",,None,None
1924082,"Ayoub Lourhraz",,"Morocco",,171,None,"Right","",49000,None,None
953991,"Reda Bounaga",,"Morocco",,187,None,"Right","",73000,None,None

919469,"Aymane Majid",30,"Morocco",13,182,None,,"G",465000,None,None
2045637,"Soufiane Taher",,,44,,None,,"",,None,None
2029640,"Oussama Msahli",,,29,,None,,"",,None,None
2045636,"Mostafa Marroun",,,23,,None,,"",,None,None
2146480,"Ibrahim El Hajjami",,,62,,None,,"",,None,None
2045584,"Yassine Senhaji",,,77,181,None,"Right","",,None,None
1954173,"Exauce Marius Mbou",21,"Congo Republic",17,,None,,"",,None,None
1140833,"Oussama Lamlioui",29,"Morocco",9,180,None,"Both","F",850000,None,None
2203635,"Youness El Kaabi",24,"Morocco",24,185,None,"Right","F",80000,None,None
1102957,"Paul Bassène",24,"Senegal",28,178,None,"Left","F",380000,None,None
1155596,"Mamadou Lamine Camara",22,"Senegal",6,193,None,"Right","M",1400000,None,None
1182584,"Youssef Mehri",26,"Morocco",11,177,None,"Right","M",1000000,None,None
845274,"Mounir Chouiar",26,"Morocco",23,178,None,"Right","M",2600000,None,None
1170317,"Imad Riahi",25,"Morocco",18,178,None,"Right","M",440000,None,None
978956,"Ayoub Khairi",25,"Morocco",8,,None,,"M",1300000,None,None
366156,"Zinédine Machach",29,"France",29,185,None,"Right","M",670000,None,None
1114480,"Reda Hajji",25,"Morocco",35,,None,"Right","M",105000,None,None
297510,"Rayane Aabid",33,"France",14,178,None,"Right","M",73000,None,None
919532,"Yassine Labhiri",31,"Morocco",17,178,None,"Right","M",820000,None,None
1166995,"Soumaila Sidibe",27,"Mali",5,178,None,"Right","M",520000,None,None
919671,"Mohamed El Morabit",27,"Morocco",10,179,None,"Right","M",485000,None,None
1823726,"Mohammed Ouyahya",20,"Morocco",32,176,None,"Right","M",26000,None,None
1401535,"Amine Azri",30,"Morocco",21,185,None,"Left","M",465000,None,None
934196,"Ismael Kandouss",28,"Morocco",27,192,None,"Right","D",1900000,None,None
867180,"Oussama Haddadi",33,"Tunisia",4,184,None,"Left","D",180000,None,None
