id,total_matches,total_goals,total_assists,total_yellow,total_second_yellow,total_red,goals_conceded,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"1174262_Total",50,1,0,6,0,2,0,0,None,None,None,None,None
"1115476_Total",5,0,0,0,0,0,0,0,None,None,None,None,None
"367149_Total",115,2,6,21,2,0,0,0,None,None,None,None,None
"1344495_Total",0,0,0,0,0,0,0,0,None,None,None,None,None
"1235905_Total",19,0,0,0,0,0,45,0,None,None,None,None,None
"255642_Total",222,16,2,39,6,0,0,0,None,None,None,None,None
"692591_Total",80,2,5,17,0,0,0,0,None,None,None,None,None
"1370739_Total",10,1,1,2,0,0,0,0,None,None,None,None,None
"306668_Total",327,8,11,61,2,4,0,0,None,None,None,None,None
"1091105_Total",16,2,1,1,0,0,0,0,None,None,None,None,None
"356586_Total",114,0,0,16,0,0,157,29,None,None,None,None,None
"1139810_Total",5,1,0,1,0,0,0,0,None,None,None,None,None
"1266261_Total",16,4,0,1,0,0,0,0,None,None,None,None,None
"842564_Total",87,4,7,8,0,0,0,0,None,None,None,None,None
"343949_Total",162,15,14,17,0,0,0,0,None,None,None,None,None
"1055339_Total",98,2,8,13,0,0,0,0,None,None,None,None,None
"713000_Total",63,3,1,9,0,0,0,0,None,None,None,None,None
"235602_Total",332,0,0,23,0,3,326,117,None,None,None,None,None
"1332783_Total",15,1,0,0,0,0,0,0,None,None,None,None,None
"1175868_Total",44,4,3,2,0,0,0,0,None,None,None,None,None
"1267107_Total",8,0,0,2,0,0,0,0,None,None,None,None,None
"727209_Total",74,0,2,2,0,0,0,0,None,None,None,None,None
"667999_Total",51,0,0,7,0,0,0,0,None,None,None,None,None
"1245251_Total",13,1,0,2,0,0,0,0,None,None,None,None,None
"1134255_Total",14,0,0,5,0,0,0,0,None,None,None,None,None
"904578_Total",16,2,0,1,0,0,0,0,None,None,None,None,None
"943495_Total",64,8,0,11,1,3,0,0,None,None,None,None,None
"1066475_Total",61,3,2,14,0,0,0,0,None,None,None,None,None
"1267109_Total",30,8,6,3,0,0,0,0,None,None,None,None,None
"276255_Total",357,65,28,42,2,1,0,0,None,None,None,None,None
"869457_Total",34,0,0,1,0,0,59,7,None,None,None,None,None
"1430198_Total",6,0,1,1,0,0,0,0,None,None,None,None,None
"593478_Total",16,0,0,4,0,0,0,0,None,None,None,None,None
"1074351_Total",35,4,4,4,0,1,0,0,None,None,None,None,None
"537209_Total",205,9,9,30,1,3,0,0,None,None,None,None,None
"1180814_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"1443774_Total",4,0,0,1,0,0,0,0,None,None,None,None,None
"848947_Total",73,1,1,9,2,1,0,0,None,None,None,None,None
"667966_Total",50,1,5,4,0,0,0,0,None,None,None,None,None
"245346_Total",304,55,16,32,1,3,0,0,None,None,None,None,None
"64490_Total",353,13,2,52,2,5,0,0,None,None,None,None,None
"708663_Total",19,3,2,2,0,0,0,0,None,None,None,None,None
"1443785_Total",4,0,1,0,0,0,0,0,None,None,None,None,None
"667992_Total",21,0,0,0,1,0,23,7,None,None,None,None,None
"239291_Total",329,50,35,14,0,2,0,0,None,None,None,None,None
"1134252_Total",10,0,1,1,0,0,0,0,None,None,None,None,None
"1246533_Total",3,0,0,1,0,0,0,0,None,None,None,None,None
"1028119_Total",41,0,0,4,0,2,0,0,None,None,None,None,None
"1055313_Total",24,3,1,4,0,0,0,0,None,None,None,None,None
"1180811_Total",12,0,1,1,0,1,0,0,None,None,None,None,None
"926103_Total",50,8,0,2,0,0,0,0,None,None,None,None,None
"1091486_Total",12,2,0,3,0,0,0,0,None,None,None,None,None
"238952_Total",121,0,3,11,0,0,0,0,None,None,None,None,None
"1371032_Total",8,0,0,2,0,0,0,0,None,None,None,None,None
"913644_Total",45,1,1,8,0,0,0,0,None,None,None,None,None
"926806_Total",75,5,5,7,0,0,0,0,None,None,None,None,None
"352125_Total",256,7,12,27,0,2,0,0,None,None,None,None,None
"1322435_Total",10,0,0,1,0,0,0,0,None,None,None,None,None
"789533_Total",149,49,7,10,0,0,0,0,None,None,None,None,None
"353473_Total",134,7,7,21,1,0,0,0,None,None,None,None,None
"709481_Total",59,4,4,8,0,0,0,0,None,None,None,None,None
"908118_Total",15,1,0,2,0,0,0,0,None,None,None,None,None
"1036559_Total",44,0,0,4,0,0,55,11,None,None,None,None,None
"918020_Total",56,3,3,5,0,0,0,0,None,None,None,None,None
"292309_Total",153,0,0,14,0,1,183,48,None,None,None,None,None
"1110587_Total",19,0,1,0,0,0,0,0,None,None,None,None,None
"1174677_Total",40,0,2,1,0,1,0,0,None,None,None,None,None
"642295_Total",118,0,1,18,1,0,0,0,None,None,None,None,None
"1184401_Total",58,6,0,9,0,0,0,0,None,None,None,None,None
"467571_Total",223,9,11,35,0,1,0,0,None,None,None,None,None
"1327935_Total",27,0,2,1,0,0,0,0,None,None,None,None,None
"1337458_Total",21,8,0,0,0,0,0,0,None,None,None,None,None
"920577_Total",92,12,6,7,0,0,0,0,None,None,None,None,None
"1194144_Total",13,1,1,2,0,0,0,0,None,None,None,None,None
"1153106_Total",4,0,0,0,0,0,6,1,None,None,None,None,None
"1233132_Total",23,0,1,2,0,0,0,0,None,None,None,None,None
"1270327_Total",14,1,0,1,0,0,0,0,None,None,None,None,None
"1338486_Total",28,0,1,3,0,0,0,0,None,None,None,None,None
"182912_Total",303,42,14,31,1,1,0,0,None,None,None,None,None
"975918_Total",77,11,8,6,0,0,0,0,None,None,None,None,None
"491280_Total",188,15,8,28,2,0,0,0,None,None,None,None,None
"1134278_Total",37,4,2,5,0,0,0,0,None,None,None,None,None
"593395_Total",19,0,0,1,0,0,22,5,None,None,None,None,None
"1263250_Total",7,0,0,0,0,0,0,0,None,None,None,None,None
"823069_Total",9,0,0,0,0,0,18,1,None,None,None,None,None
"1258563_Total",13,0,1,2,0,0,0,0,None,None,None,None,None
"518828_Total",176,5,16,18,2,0,0,0,None,None,None,None,None
"1258564_Total",21,0,1,0,0,1,0,0,None,None,None,None,None
"1065548_Total",8,0,0,1,0,0,0,0,None,None,None,None,None
"244941_Total",267,2,8,24,1,1,0,0,None,None,None,None,None
"1097559_Total",56,5,6,3,1,0,0,0,None,None,None,None,None
"846437_Total",65,12,5,6,0,0,0,0,None,None,None,None,None
"858910_Total",101,1,1,20,0,5,0,0,None,None,None,None,None
"908108_Total",27,0,2,0,0,0,0,0,None,None,None,None,None
"1235904_Total",34,0,1,4,1,0,0,0,None,None,None,None,None
"312825_Total",56,3,0,3,0,0,0,0,None,None,None,None,None
"1233335_Total",8,0,1,0,0,0,0,0,None,None,None,None,None
"836467_Total",100,5,19,12,0,1,0,0,None,None,None,None,None
"712125_Total",161,7,3,11,0,1,0,0,None,None,None,None,None
"203755_Total",231,32,23,60,2,1,0,0,None,None,None,None,None
"182885_Total",234,29,11,33,2,1,0,0,None,None,None,None,None
"364239_Total",260,88,22,35,0,0,0,0,None,None,None,None,None
"1235902_Total",33,1,1,1,0,0,0,0,None,None,None,None,None
"848420_Total",107,3,5,18,0,1,0,0,None,None,None,None,None
"681726_Total",129,0,0,7,0,0,128,53,None,None,None,None,None
"902847_Total",57,1,1,6,0,0,0,0,None,None,None,None,None
"860299_Total",128,25,9,14,1,1,0,0,None,None,None,None,None
"929321_Total",86,16,9,6,0,1,0,0,None,None,None,None,None
"1256643_Total",18,0,1,0,0,0,0,0,None,None,None,None,None
"650001_Total",160,20,9,14,1,3,0,0,None,None,None,None,None
"842528_Total",82,1,1,13,0,2,0,0,None,None,None,None,None
"484572_Total",72,1,1,9,2,0,0,0,None,None,None,None,None
"234836_Total",336,38,34,22,1,0,0,0,None,None,None,None,None
"239127_Total",369,16,10,92,0,3,0,0,None,None,None,None,None
"1340455_Total",13,4,1,1,0,0,0,0,None,None,None,None,None
"1340454_Total",4,0,0,0,0,0,9,1,None,None,None,None,None
"864078_Total",3,1,0,0,0,0,0,0,None,None,None,None,None
"868656_Total",72,7,9,6,0,0,0,0,None,None,None,None,None
"857713_Total",121,29,20,14,0,0,0,0,None,None,None,None,None
"933020_Total",19,2,0,2,0,0,0,0,None,None,None,None,None
"1309589_Total",8,0,1,2,0,0,0,0,None,None,None,None,None
"1123784_Total",31,2,1,8,0,0,0,0,None,None,None,None,None
"805351_Total",90,2,2,14,0,0,0,0,None,None,None,None,None
"1102874_Total",38,2,2,6,1,0,0,0,None,None,None,None,None
"1105269_Total",19,4,2,0,0,0,0,0,None,None,None,None,None
"440323_Total",122,4,5,18,0,1,0,0,None,None,None,None,None
"1125067_Total",57,5,4,2,0,0,0,0,None,None,None,None,None
"1263910_Total",9,0,1,0,0,0,0,0,None,None,None,None,None
"518849_Total",126,1,12,12,0,1,0,0,None,None,None,None,None
"703639_Total",17,0,0,0,0,0,0,0,None,None,None,None,None
