id,name,age,nationality,height,preferred_foot,preferred_positions,market_value,current_club_id
864078,Yacoub El Id,24,Mauritania,181,,Midfield,€10k,30625
868656,Mouad Goulouss,32,Morocco,171,right,Attacking Midfield,€275k,30625
857713,Mustapha Sahd,32,Morocco,182,right,Centre-Forward,€375k,30625
933020,Imad Khannouss,32,Morocco,179,both,Left Winger,€125k,30625
1309589,Ayoub Lourhraz,24,Morocco,171,,Right-Back,€50k,30625
1123784,Zouhir Eddib,23,Morocco,183,right,Centre-Forward,€275k,30625
805351,Achraf Hmaidou,25,Morocco,176,right,Defensive Midfield,€325k,30625
1102874,Adnane Berdad,32,Morocco,0,right,Central Midfield,€275k,30625
1416427,Mohamed Ferhane,22,Morocco,190,right,Centre-Forward,,30625
1105269,Abdellatif Benkassou,22,Morocco,0,right,Right Winger,€250k,30625
440323,Ismael Benktib,27,Morocco,177,right,Central Midfield,€450k,30625
1125067,Younes Sakhi,25,Morocco,187,both,Right Winger,€175k,30625
1263910,Mohamed Zinaf,22,Morocco,0,,Attacking Midfield,€50k,30625
1459802,Marius Mbou,21,Congo,186,right,Central Midfield,,30625
518849,Zakaria Nassik,28,Morocco,177,left,Left-Back,€250k,30625
703639,Driss El Abdi,32,Morocco,0,left,Centre-Back,€50k,30625
375635,Reda Bounaga,36,Morocco,187,right,Goalkeeper,€75k,30625
1092073,Chemseddine Knaidil,23,Morocco,0,left,Left-Back,€325k,30625
643992,Imrane Fiddi,27,Morocco,173,right,Right-Back,€150k,30625
536874,Amine Dghoughi,33,Morocco,174,right,Attacking Midfield,€175k,30625
850874,Cruz Ndong Bitheghe,24,Gabon,178,,Attack,€25k,30625
520441,Oussama Daoui,30,Morocco,0,right,Right-Back,€300k,30625
712124,Youssef Limouri,26,Morocco,0,,Centre-Back,€550k,30625
238963,Yassine Jbira,29,Morocco,172,left,Left-Back,€275k,30625
1097549,Mohamed Gharmal,37,Morocco,177,,Attacking Midfield,€10k,30625
366783,Aymane Majid,30,Morocco,187,,Goalkeeper,€450k,30625
556868,Aissa Sioudi,28,Morocco,188,,Goalkeeper,€75k,74953
617083,Zacarías Ghailán,23,Morocco,173,right,Left Winger,€125k,74953
855878,James Ajako,22,Nigeria,178,left,Centre-Back,€450k,74953
926537,Aymane El Aouani,25,Morocco,0,left,Left-Back,€50k,74953
790406,Zakaria Bahrou,28,Morocco,183,right,Centre-Forward,€450k,74953
1406018,Ismail Zeroual,26,Morocco,181,right,Left Winger,€10k,74953
1263222,Yazid Faffa,24,Morocco,169,right,Right Winger,€250k,74953
837173,Abdellah Farah,24,Morocco,0,,Right Winger,€200k,74953
234900,Mehdi El Jourbaoui,32,Morocco,0,,Goalkeeper,€300k,74953
1428468,Mohammed Maid,21,Morocco,0,,Centre-Back,,74953
822539,Ayoub Tine,33,Morocco,0,right,Right-Back,€100k,74953
731876,Montassir Lahtimi,24,Morocco,185,left,Right Winger,€350k,74953
1264456,Amine Balich,22,Morocco,174,left,Left-Back,€25k,74953
365362,Mohammad El Fakih,35,Morocco,175,right,Attacking Midfield,€50k,74953
1210076,Marouane Oujeddou,21,Morocco,181,left,Right Winger,€200k,74953
1076082,Anass El Ghannouj,28,Morocco,181,,Defensive Midfield,€225k,74953
